Date,US,JP
1993-11-30,461.7900085449219,16406.5390625
1993-12-31,466.45001220703125,17417.240234375
1994-01-31,481.6099853515625,20229.119140625
1994-02-28,467.1400146484375,19997.19921875
1994-03-31,445.7699890136719,19111.919921875
1994-04-30,450.9100036621094,19725.25
1994-05-31,456.5,20973.58984375
1994-06-30,444.2699890136719,20643.9296875
1994-07-31,458.260009765625,20449.390625
1994-08-31,475.489990234375,20628.529296875
1994-09-30,462.7099914550781,19563.810546875
1994-10-31,472.3500061035156,19989.599609375
1994-11-30,453.69000244140625,19075.619140625
1994-12-31,459.2699890136719,19723.060546875
1995-01-31,470.4200134277344,18649.8203125
1995-02-28,487.3900146484375,17053.4296875
1995-03-31,500.7099914550781,16139.9501953125
1995-04-30,514.7100219726562,16806.75
1995-05-31,533.4000244140625,15436.7900390625
1995-06-30,544.75,14517.400390625
1995-07-31,562.0599975585938,16677.529296875
1995-08-31,561.8800048828125,18117.220703125
1995-09-30,584.4099731445312,17913.060546875
1995-10-31,581.5,17654.640625
1995-11-30,605.3699951171875,18744.419921875
1995-12-31,615.9299926757812,19868.150390625
1996-01-31,636.02001953125,20812.740234375
1996-02-29,640.4299926757812,20125.369140625
1996-03-31,645.5,21406.849609375
1996-04-30,654.1699829101562,22041.30078125
1996-05-31,669.1199951171875,21956.189453125
1996-06-30,670.6300048828125,22530.75
1996-07-31,639.9500122070312,20692.830078125
1996-08-31,651.989990234375,20166.900390625
1996-09-30,687.3300170898438,21556.400390625
1996-10-31,705.27001953125,20466.859375
1996-11-30,757.02001953125,21020.359375
1996-12-31,740.739990234375,19361.349609375
1997-01-31,786.1599731445312,18330.009765625
1997-02-28,790.8200073242188,18557.0
1997-03-31,757.1199951171875,18003.400390625
1997-04-30,801.3400268554688,19151.119140625
1997-05-31,848.280029296875,20068.810546875
1997-06-30,885.1400146484375,20604.9609375
1997-07-31,954.3099975585938,20331.4296875
1997-08-31,899.469970703125,18229.419921875
1997-09-30,947.280029296875,17887.7109375
1997-10-31,914.6199951171875,16458.939453125
1997-11-30,955.4000244140625,16636.259765625
1997-12-31,970.4299926757812,15258.740234375
1998-01-31,980.280029296875,16628.470703125
1998-02-28,1049.3399658203125,16831.669921875
1998-03-31,1101.75,16527.169921875
1998-04-30,1111.75,15641.259765625
1998-05-31,1090.8199462890625,15670.7802734375
1998-06-30,1133.8399658203125,15830.26953125
1998-07-31,1120.6700439453125,16378.9697265625
1998-08-31,957.280029296875,14107.8896484375
1998-09-30,1017.010009765625,13406.3896484375
1998-10-31,1098.6700439453125,13564.509765625
1998-11-30,1163.6300048828125,14883.7001953125
1998-12-31,1229.22998046875,13842.169921875
1999-01-31,1279.6400146484375,14499.25
1999-02-28,1238.3299560546875,14367.5400390625
1999-03-31,1286.3699951171875,15836.58984375
1999-04-30,1335.1800537109375,16701.529296875
1999-05-31,1301.8399658203125,16111.650390625
1999-06-30,1372.7099609375,17529.740234375
1999-07-31,1328.719970703125,17861.859375
1999-08-31,1320.4100341796875,17436.560546875
1999-09-30,1282.7099609375,17605.4609375
1999-10-31,1362.9300537109375,17942.080078125
1999-11-30,1388.9100341796875,18558.23046875
1999-12-31,1469.25,18934.33984375
2000-01-31,1394.4599609375,19539.69921875
2000-02-29,1366.4200439453125,19959.51953125
2000-03-31,1498.5799560546875,20337.3203125
2000-04-30,1452.4300537109375,17973.69921875
2000-05-31,1420.5999755859375,16332.4501953125
2000-06-30,1454.5999755859375,17411.05078125
2000-07-31,1430.8299560546875,15727.490234375
2000-08-31,1517.6800537109375,16861.259765625
2000-09-30,1436.510009765625,15747.259765625
2000-10-31,1429.4000244140625,14539.599609375
2000-11-30,1314.949951171875,14648.509765625
2000-12-31,1320.280029296875,13785.6904296875
2001-01-31,1366.010009765625,13843.5498046875
2001-02-28,1239.93994140625,12883.5400390625
2001-03-31,1160.3299560546875,12999.7001953125
2001-04-30,1249.4599609375,13934.3203125
2001-05-31,1255.8199462890625,13262.1396484375
2001-06-30,1224.3800048828125,12969.0498046875
2001-07-31,1211.22998046875,11860.76953125
2001-08-31,1133.5799560546875,10713.509765625
2001-09-30,1040.93994140625,9774.6796875
2001-10-31,1059.780029296875,10366.33984375
2001-11-30,1139.449951171875,10697.4404296875
2001-12-31,1148.0799560546875,10542.6201171875
2002-01-31,1130.199951171875,9997.7998046875
2002-02-28,1106.72998046875,10587.830078125
2002-03-31,1147.3900146484375,11024.9404296875
2002-04-30,1076.9200439453125,11492.5400390625
2002-05-31,1067.1400146484375,11763.7001953125
2002-06-30,989.8200073242188,10621.83984375
2002-07-31,911.6199951171875,9877.9404296875
2002-08-31,916.0700073242188,9619.2998046875
2002-09-30,815.280029296875,9383.2900390625
2002-10-31,885.760009765625,8640.48046875
2002-11-30,936.3099975585938,9215.5595703125
2002-12-31,879.8200073242188,8578.9501953125
2003-01-31,855.7000122070312,8339.9404296875
2003-02-28,841.1500244140625,8363.0400390625
2003-03-31,848.1799926757812,7972.7099609375
2003-04-30,916.9199829101562,7831.419921875
2003-05-31,963.5900268554688,8424.509765625
2003-06-30,974.5,9083.1103515625
2003-07-31,990.3099975585938,9563.2099609375
2003-08-31,1008.010009765625,10343.5498046875
2003-09-30,995.969970703125,10219.0498046875
2003-10-31,1050.7099609375,10559.58984375
2003-11-30,1058.199951171875,10100.5703125
2003-12-31,1111.9200439453125,10676.6396484375
2004-01-31,1131.1300048828125,10783.6103515625
2004-02-29,1144.93994140625,11041.919921875
2004-03-31,1126.2099609375,11715.3896484375
2004-04-30,1107.300048828125,11761.7900390625
2004-05-31,1120.6800537109375,11236.3701171875
2004-06-30,1140.8399658203125,11858.8701171875
2004-07-31,1101.719970703125,11325.7802734375
2004-08-31,1104.239990234375,11081.7900390625
2004-09-30,1114.5799560546875,10823.5703125
2004-10-31,1130.199951171875,10771.419921875
2004-11-30,1173.8199462890625,10899.25
2004-12-31,1211.9200439453125,11488.759765625
2005-01-31,1181.27001953125,11387.58984375
2005-02-28,1203.5999755859375,11740.599609375
2005-03-31,1180.5899658203125,11668.9501953125
2005-04-30,1156.8499755859375,11008.900390625
2005-05-31,1191.5,11276.58984375
2005-06-30,1191.3299560546875,11584.009765625
2005-07-31,1234.1800537109375,11899.599609375
2005-08-31,1220.3299560546875,12413.599609375
2005-09-30,1228.81005859375,13574.2998046875
2005-10-31,1207.010009765625,13606.5
2005-11-30,1249.47998046875,14872.150390625
2005-12-31,1248.2900390625,16111.4296875
2006-01-31,1280.0799560546875,16649.8203125
2006-02-28,1280.6600341796875,16205.4296875
2006-03-31,1294.8699951171875,17059.66015625
2006-04-30,1310.6099853515625,16906.23046875
2006-05-31,1270.0899658203125,15467.330078125
2006-06-30,1270.199951171875,15505.1796875
2006-07-31,1276.6600341796875,15456.8095703125
2006-08-31,1303.8199462890625,16140.759765625
2006-09-30,1335.8499755859375,16127.580078125
2006-10-31,1377.93994140625,16399.390625
2006-11-30,1400.6300048828125,16274.330078125
2006-12-31,1418.300048828125,17225.830078125
2007-01-31,1438.239990234375,17383.419921875
2007-02-28,1406.8199462890625,17604.119140625
2007-03-31,1420.8599853515625,17287.650390625
2007-04-30,1482.3699951171875,17400.41015625
2007-05-31,1530.6199951171875,17875.75
2007-06-30,1503.3499755859375,18138.359375
2007-07-31,1455.27001953125,17248.890625
2007-08-31,1473.989990234375,16569.08984375
2007-09-30,1526.75,16785.689453125
2007-10-31,1549.3800048828125,16737.630859375
2007-11-30,1481.1400146484375,15680.669921875
2007-12-31,1468.3599853515625,15307.7802734375
2008-01-31,1378.550048828125,13592.4697265625
2008-02-29,1330.6300048828125,13603.01953125
2008-03-31,1322.699951171875,12525.5400390625
2008-04-30,1385.5899658203125,13849.990234375
2008-05-31,1400.3800048828125,14338.5400390625
2008-06-30,1280.0,13481.3798828125
2008-07-31,1267.3800048828125,13376.8095703125
2008-08-31,1282.8299560546875,13072.8701171875
2008-09-30,1166.3599853515625,11259.8603515625
2008-10-31,968.75,8576.98046875
2008-11-30,896.239990234375,8512.26953125
2008-12-31,903.25,8859.5595703125
2009-01-31,825.8800048828125,7994.0498046875
2009-02-28,735.0900268554688,7568.419921875
2009-03-31,797.8699951171875,8109.52978515625
2009-04-30,872.8099975585938,8828.259765625
2009-05-31,919.1400146484375,9522.5
2009-06-30,919.3200073242188,9958.4404296875
2009-07-31,987.47998046875,10356.830078125
2009-08-31,1020.6199951171875,10492.5302734375
2009-09-30,1057.0799560546875,10133.23046875
2009-10-31,1036.18994140625,10034.740234375
2009-11-30,1095.6300048828125,9345.5498046875
2009-12-31,1115.0999755859375,10546.4404296875
2010-01-31,1073.8699951171875,10198.0400390625
2010-02-28,1104.489990234375,10126.0302734375
2010-03-31,1169.4300537109375,11089.9404296875
2010-04-30,1186.68994140625,11057.400390625
2010-05-31,1089.4100341796875,9768.7001953125
2010-06-30,1030.7099609375,9382.6396484375
2010-07-31,1101.5999755859375,9537.2998046875
2010-08-31,1049.3299560546875,8824.0595703125
2010-09-30,1141.199951171875,9369.349609375
2010-10-31,1183.260009765625,9202.4501953125
2010-11-30,1180.550048828125,9937.0400390625
2010-12-31,1257.6400146484375,10228.919921875
2011-01-31,1286.1199951171875,10237.919921875
2011-02-28,1327.219970703125,10624.08984375
2011-03-31,1325.8299560546875,9755.099609375
2011-04-30,1363.6099853515625,9849.740234375
2011-05-31,1345.199951171875,9693.73046875
2011-06-30,1320.6400146484375,9816.08984375
2011-07-31,1292.280029296875,9833.0302734375
2011-08-31,1218.8900146484375,8955.2001953125
2011-09-30,1131.4200439453125,8700.2900390625
2011-10-31,1253.300048828125,8988.3896484375
2011-11-30,1246.9599609375,8434.6103515625
2011-12-31,1257.5999755859375,8455.349609375
2012-01-31,1312.4100341796875,8802.509765625
2012-02-29,1365.6800537109375,9723.240234375
2012-03-31,1408.469970703125,10083.5595703125
2012-04-30,1397.9100341796875,9520.8896484375
2012-05-31,1310.3299560546875,8542.73046875
2012-06-30,1362.1600341796875,9006.7802734375
2012-07-31,1379.3199462890625,8695.0595703125
2012-08-31,1406.5799560546875,8839.91015625
2012-09-30,1440.6700439453125,8870.16015625
2012-10-31,1412.1600341796875,8928.2900390625
2012-11-30,1416.1800537109375,9446.009765625
2012-12-31,1426.18994140625,10395.1796875
2013-01-31,1498.1099853515625,11138.66015625
2013-02-28,1514.6800537109375,11559.3603515625
2013-03-31,1569.18994140625,12397.91015625
2013-04-30,1597.5699462890625,13860.8603515625
2013-05-31,1630.739990234375,13774.5400390625
2013-06-30,1606.280029296875,13677.3203125
2013-07-31,1685.72998046875,13668.3203125
2013-08-31,1632.969970703125,13388.8603515625
2013-09-30,1681.550048828125,14455.7998046875
2013-10-31,1756.5400390625,14327.9404296875
2013-11-30,1805.81005859375,15661.8701171875
2013-12-31,1848.3599853515625,16291.3095703125
2014-01-31,1782.5899658203125,14914.5302734375
2014-02-28,1859.449951171875,14841.0703125
2014-03-31,1872.3399658203125,14827.830078125
2014-04-30,1883.949951171875,14304.1103515625
2014-05-31,1923.5699462890625,14632.3798828125
2014-06-30,1960.22998046875,15162.099609375
2014-07-31,1930.6700439453125,15620.76953125
2014-08-31,2003.3699951171875,15424.58984375
2014-09-30,1972.2900390625,16173.51953125
2014-10-31,2018.050048828125,16413.759765625
2014-11-30,2067.56005859375,17459.849609375
2014-12-31,2058.89990234375,17450.76953125
2015-01-31,1994.989990234375,17674.390625
2015-02-28,2104.5,18797.939453125
2015-03-31,2067.889892578125,19206.990234375
2015-04-30,2085.510009765625,19520.009765625
2015-05-31,2107.389892578125,20563.150390625
2015-06-30,2063.110107421875,20235.73046875
2015-07-31,2103.840087890625,20585.240234375
2015-08-31,1972.1800537109375,18890.48046875
2015-09-30,1920.030029296875,17388.150390625
2015-10-31,2079.360107421875,19083.099609375
2015-11-30,2080.409912109375,19747.470703125
2015-12-31,2043.93994140625,19033.7109375
2016-01-31,1940.239990234375,17518.30078125
2016-02-29,1932.22998046875,16026.759765625
2016-03-31,2059.739990234375,16758.669921875
2016-04-30,2065.300048828125,16666.05078125
2016-05-31,2096.949951171875,17234.98046875
2016-06-30,2098.860107421875,15575.919921875
2016-07-31,2173.60009765625,16569.26953125
2016-08-31,2170.949951171875,16887.400390625
2016-09-30,2168.27001953125,16449.83984375
